,REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%),total population(1000),total labor force(1000),total fulltime employments(1000),total unemployed,total unemployment rate(%),total participation rate(%),total employment rate(%),covid cases,covid deaths,canada covid cases,canada covid deaths
33,2019-04,Alberta,1722.9,1718.1,1334.3,1142.4,1103.4,792.6,90.8,69.0,6.8,6.0,77.4,66.5,6.8,6.0,3441.0,2476.7,1585.2,159.8,6.400557977332171,71.95760244115084,6.400557977332171,0.0,0.0,0.0,0.0
34,2019-04,British Columbia,2074.7,2148.6,1465.7,1346.6,1181.9,922.4,71.1,64.1,4.9,4.8,70.6,62.7,4.9,4.8,4223.299999999999,2812.3,1844.8,135.2,4.849125091752896,66.58088224847869,4.849125091752896,0.0,0.0,0.0,0.0
35,2019-04,Canada,15105.8,15483.6,10703.3,9576.8,8727.0,6712.9,648.4,515.3,6.1,5.4,70.9,61.9,6.1,5.4,30589.4,20280.1,13425.8,1163.6999999999998,5.745677260750456,66.34442192393442,5.745677260750456,0.0,0.0,0.0,0.0
36,2019-04,Manitoba,514.4,522.6,374.3,323.8,311.2,221.0,19.9,15.7,5.3,4.8,72.8,62.0,5.3,4.8,1037.0,698.1,442.0,35.599999999999994,5.048023143683703,67.35729990356799,5.048023143683703,0.0,0.0,0.0,0.0
37,2019-04,New Brunswick,313.9,327.2,205.3,187.9,166.1,136.9,19.7,12.6,9.6,6.7,65.4,57.4,9.6,6.7,641.0999999999999,393.2000000000001,273.8,32.3,8.11991888940883,61.3170176259554,8.11991888940883,0.0,0.0,0.0,0.0
38,2019-04,Newfoundland and Labrador,219.2,226.4,139.4,124.0,107.8,87.5,19.1,12.6,13.7,10.2,63.6,54.8,13.7,10.2,445.6,263.4,175.0,31.700000000000003,11.921723518850984,59.12890484739677,11.921723518850984,0.0,0.0,0.0,0.0
39,2019-04,Nova Scotia,387.9,415.3,251.7,246.5,201.6,172.9,21.6,14.3,8.6,5.8,64.9,59.4,8.6,5.8,803.2,498.2,345.8,35.900000000000006,7.152241035856573,62.05618774900398,7.152241035856573,0.0,0.0,0.0,0.0
40,2019-04,Ontario,5889.6,6111.2,4152.7,3722.8,3386.8,2609.0,246.3,223.9,5.9,6.0,70.5,60.9,5.9,6.0,12000.8,7875.5,5218.0,470.2000000000001,5.950923271781882,65.6113659089394,5.950923271781882,0.0,0.0,0.0,0.0
41,2019-04,Prince Edward Island,63.6,66.1,45.4,41.6,36.0,31.1,4.8,2.9,10.6,7.0,71.4,62.9,10.6,7.0,129.7,87.0,62.2,7.699999999999999,8.765304548959136,67.06808018504242,8.765304548959136,0.0,0.0,0.0,0.0
42,2019-04,Quebec,3476.6,3509.4,2401.6,2162.8,1953.1,1543.1,135.1,86.6,5.6,4.0,69.1,61.6,5.6,4.0,6986.0,4564.4,3086.2,221.7,4.7962439164042365,65.33239335814486,4.7962439164042365,0.0,0.0,0.0,0.0
43,2019-04,Saskatchewan,443.1,438.6,333.1,278.3,279.1,196.4,20.0,13.7,6.0,4.9,75.2,63.5,6.0,4.9,881.7,611.4000000000001,392.8,33.7,5.452807077237155,69.37985709424974,5.452807077237155,0.0,0.0,0.0,0.0
44,2019-05,Alberta,1725.0,1720.5,1330.2,1143.3,1085.9,787.8,103.5,62.7,7.8,5.5,77.1,66.5,7.8,5.5,3445.5,2473.5,1575.6,166.2,6.6515019590770565,71.80692207226816,6.6515019590770565,0.0,0.0,0.0,0.0
45,2019-05,British Columbia,2078.3,2152.4,1469.2,1354.8,1193.1,920.9,62.1,64.4,4.2,4.8,70.7,62.9,4.2,4.8,4230.700000000001,2824.0,1841.8,126.5,4.505254449618267,66.73169215496253,4.505254449618267,0.0,0.0,0.0,0.0
46,2019-05,Canada,15126.9,15503.5,10680.9,9554.0,8725.6,6747.0,632.9,469.7,5.9,4.9,70.6,61.6,5.9,4.9,30630.4,20234.9,13494.0,1102.6,5.393852512536565,66.04467261282907,5.393852512536565,0.0,0.0,0.0,0.0
47,2019-05,Manitoba,514.9,523.2,375.1,323.7,307.3,222.8,21.4,14.5,5.7,4.5,72.8,61.9,5.7,4.5,1038.1,698.8,445.6,35.9,5.095202774299201,67.30642519988442,5.095202774299201,0.0,0.0,0.0,0.0
48,2019-05,New Brunswick,314.3,327.5,207.0,187.5,168.3,139.8,19.5,10.3,9.4,5.5,65.9,57.3,9.4,5.5,641.8,394.5,279.6,29.8,7.409894047990029,61.5115612340293,7.409894047990029,0.0,0.0,0.0,0.0
49,2019-05,Newfoundland and Labrador,219.2,226.4,138.5,123.2,106.4,89.6,19.5,12.7,14.1,10.3,63.2,54.4,14.1,10.3,445.6,261.7,179.2,32.2,12.169299820466788,58.72890484739677,12.169299820466788,0.0,0.0,0.0,0.0
50,2019-05,Nova Scotia,388.4,415.7,253.7,247.0,204.6,173.3,20.0,14.5,7.9,5.9,65.3,59.4,7.9,5.9,804.0999999999999,500.7,346.6,34.5,6.866048998880737,62.24984454669817,6.866048998880737,0.0,0.0,0.0,0.0
51,2019-05,Ontario,5899.5,6120.4,4129.8,3705.9,3392.7,2648.4,222.8,185.7,5.4,5.0,70.0,60.5,5.4,5.0,12019.9,7835.700000000001,5296.8,408.5,5.196324428655813,65.16270518057556,5.196324428655813,0.0,0.0,0.0,0.0
52,2019-05,Prince Edward Island,63.8,66.3,45.4,41.1,36.0,31.2,5.2,2.3,11.5,5.6,71.2,62.0,11.5,5.6,130.1,86.5,62.4,7.5,8.493312836279785,66.51160645657187,8.493312836279785,0.0,0.0,0.0,0.0
53,2019-05,Quebec,3480.1,3512.2,2402.9,2149.5,1956.3,1535.8,140.8,88.6,5.9,4.1,69.0,61.2,5.9,4.1,6992.299999999999,4552.4,3071.6,229.4,4.9958683122863725,65.08209601990762,4.9958683122863725,0.0,0.0,0.0,0.0
54,2019-05,Saskatchewan,443.4,438.9,329.1,278.1,275.0,197.5,18.1,13.9,5.5,5.0,74.2,63.4,5.5,5.0,882.3,607.2,395.0,32.0,5.251275076504591,68.82754165249915,5.251275076504591,0.0,0.0,0.0,0.0
