REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%)
2023-05,British Columbia,2206.0,2294.1,1516.2,1410.8,1238.5,980.2,74.0,72.3,4.9,5.1,68.7,61.5,4.9,5.1
2023-05,Canada,16001.8,16364.0,11129.9,10076.0,9173.0,7275.0,596.4,496.6,5.4,4.9,69.6,61.6,5.4,4.9
2023-05,Manitoba,538.2,546.0,385.6,344.8,326.5,245.9,18.4,16.4,4.8,4.8,71.6,63.2,4.8,4.8
2023-05,New Brunswick,334.7,345.7,214.0,195.9,175.5,153.8,16.8,8.3,7.9,4.2,63.9,56.7,7.9,4.2
2023-05,Newfoundland and Labrador,223.0,231.3,134.4,126.1,104.7,93.9,17.1,9.6,12.7,7.6,60.3,54.5,12.7,7.6
2023-05,Nova Scotia,416.4,443.7,263.8,258.2,212.6,187.8,17.8,12.1,6.7,4.7,63.4,58.2,6.7,4.7
2023-05,Ontario,6271.6,6478.1,4396.0,3963.4,3619.4,2853.4,237.1,226.8,5.4,5.7,70.1,61.2,5.4,5.7
2023-05,Prince Edward Island,71.1,72.9,50.3,45.6,40.5,35.8,5.0,2.0,9.9,4.4,70.7,62.6,9.9,4.4
2023-05,Quebec,3612.9,3626.6,2461.9,2230.9,2039.2,1653.0,106.5,79.7,4.3,3.6,68.1,61.5,4.3,3.6
2023-05,Saskatchewan,463.4,457.2,328.5,286.0,277.3,206.0,15.0,11.8,4.6,4.1,70.9,62.6,4.6,4.1
2023-06,Alberta,1872.4,1875.9,1392.0,1214.6,1152.2,861.7,83.2,65.8,6.0,5.4,74.3,64.7,6.0,5.4
2023-06,British Columbia,2212.5,2300.7,1517.8,1424.3,1235.5,986.9,80.0,83.9,5.3,5.9,68.6,61.9,5.3,5.9
2023-06,Canada,16046.1,16403.3,11210.4,10109.5,9237.3,7320.3,616.3,530.8,5.5,5.3,69.9,61.6,5.5,5.3
2023-06,Manitoba,539.7,547.4,382.6,345.3,326.6,244.7,16.3,15.3,4.3,4.4,70.9,63.1,4.3,4.4
2023-06,New Brunswick,335.8,346.6,212.1,197.3,176.3,153.1,16.2,10.0,7.6,5.1,63.2,56.9,7.6,5.1
2023-06,Newfoundland and Labrador,223.3,231.6,132.1,126.9,104.2,93.6,15.3,7.5,11.6,5.9,59.2,54.8,11.6,5.9
2023-06,Nova Scotia,417.7,444.9,269.4,260.5,216.4,189.9,18.7,15.4,6.9,5.9,64.5,58.6,6.9,5.9
2023-06,Ontario,6290.3,6494.1,4439.8,3988.2,3656.0,2911.4,244.8,232.0,5.5,5.8,70.6,61.4,5.5,5.8
2023-06,Prince Edward Island,71.4,73.1,50.1,44.2,40.3,34.0,5.0,2.7,10.0,6.1,70.2,60.5,10.0,6.1
2023-06,Quebec,3618.3,3630.6,2482.3,2221.8,2050.8,1636.3,120.2,85.7,4.8,3.9,68.6,61.2,4.8,3.9
2023-06,Saskatchewan,464.6,458.3,332.3,286.4,279.1,208.7,16.8,12.4,5.1,4.3,71.5,62.5,5.1,4.3
